Y,Yt-1,Yt-2
15800,15774,15020
15774,15020,14645
15020,14645,11146
14645,11146,16857
11146,16857,18945
16857,18945,16899
18945,16899,19798
16899,19798,13787
19798,13787,14511
13787,14511,11027
14511,11027,16187
11027,16187,13473
16187,13473,19066
13473,19066,11624
19066,11624,16445
11624,16445,19517
16445,19517,18316
19517,18316,12643
18316,12643,10616
12643,10616,18539
10616,18539,14049
18539,14049,15183
14049,15183,19597
15183,19597,10222
19597,10222,17846
10222,17846,12886
17846,12886,10059
12886,10059,19457
10059,19457,10961
19457,10961,13725
10961,13725,15751
13725,15751,14306
15751,14306,11695
14306,11695,19993
11695,19993,19484
19993,19484,13336
19484,13336,17770
13336,17770,18679
17770,18679,10459
18679,10459,19912
10459,19912,18120
19912,18120,19197
18120,19197,11049
19197,11049,11838
11049,11838,16575
11838,16575,14580
16575,14580,13061
14580,13061,10877
13061,10877,11904
10877,11904,13352
11904,13352,10847
13352,10847,19484
10847,19484,18436
19484,18436,18292
18436,18292,18639
18292,18639,15685
18639,15685,17906
15685,17906,18414
17906,18414,17826
18414,17826,14265
17826,14265,15404
14265,15404,15818
15404,15818,14530
15818,14530,18825
14530,18825,15632
18825,15632,19171
15632,19171,13564
19171,13564,18068
13564,18068,17926
18068,17926,15138
17926,15138,16721
15138,16721,15819
16721,15819,12534
15819,12534,11540
12534,11540,13915
11540,13915,15254
13915,15254,17153
15254,17153,13754
17153,13754,16245
13754,16245,15375
16245,15375,15204
15375,15204,11646
15204,11646,13076
11646,13076,18454
13076,18454,14013
18454,14013,15050
14013,15050,12845
15050,12845,13237
12845,13237,11229
13237,11229,13370
11229,13370,16283
13370,16283,15999
16283,15999,13769
15999,13769,18146
13769,18146,15475
18146,15475,17220
15475,17220,10950
17220,10950,13299
10950,13299,18712
13299,18712,11153
18712,11153,15359
11153,15359,11037
15359,11037,15553
11037,15553,13247
15553,13247,18451
13247,18451,18462
18451,18462,12020
18462,12020,18959
12020,18959,10138
18959,10138,17369
10138,17369,11348
17369,11348,19116
11348,19116,14719
19116,14719,14615
14719,14615,18710
14615,18710,12046
18710,12046,11419
12046,11419,10548
11419,10548,18980
10548,18980,12241
18980,12241,15765
12241,15765,18059
15765,18059,11459
18059,11459,14522
11459,14522,16982
14522,16982,19888
16982,19888,12611
19888,12611,18383
12611,18383,16885
18383,16885,19604
16885,19604,12368
19604,12368,15171
12368,15171,12213
15171,12213,19707
12213,19707,17785
19707,17785,13104
17785,13104,10667
13104,10667,15758
10667,15758,18927
15758,18927,12992
18927,12992,15475
12992,15475,17874
15475,17874,18067
17874,18067,12026
18067,12026,14630
12026,14630,15759
14630,15759,14878
15759,14878,11245
14878,11245,19055
11245,19055,16913
19055,16913,11753
16913,11753,12317
11753,12317,18817
12317,18817,14755
18817,14755,16502
14755,16502,19459
16502,19459,12307
19459,12307,13268
12307,13268,15854
13268,15854,10423
15854,10423,13133
10423,13133,10024
13133,10024,15977
10024,15977,10243
15977,10243,15384
10243,15384,11527
15384,11527,11816
11527,11816,17136
11816,17136,11035
17136,11035,17772
11035,17772,11010
17772,11010,16826
11010,16826,16512
16826,16512,13891
16512,13891,10411
13891,10411,11979
10411,11979,17799
11979,17799,17435
17799,17435,11616
17435,11616,12353
11616,12353,13629
12353,13629,16616
13629,16616,19410
16616,19410,18553
19410,18553,17848
18553,17848,16630
17848,16630,18541
16630,18541,14514
18541,14514,17867
14514,17867,17458
17867,17458,11331
17458,11331,18218
11331,18218,15424
18218,15424,13136
15424,13136,18024
13136,18024,17263
18024,17263,18284
17263,18284,18883
18284,18883,15171
18883,15171,14392
15171,14392,12518
14392,12518,13702
12518,13702,19895
13702,19895,12576
19895,12576,18907
12576,18907,17178
18907,17178,14185
17178,14185,10267
14185,10267,19517
10267,19517,10109
19517,10109,18588
10109,18588,19433
18588,19433,15519
19433,15519,13096
15519,13096,19012
13096,19012,14845
19012,14845,14666
14845,14666,18604
14666,18604,10806
18604,10806,18426
10806,18426,11165
18426,11165,10974
11165,10974,13022
10974,13022,14241
13022,14241,15461
14241,15461,10362
15461,10362,15853
10362,15853,11289
15853,11289,14511
11289,14511,11680
14511,11680,12482
11680,12482,15456
12482,15456,10091
15456,10091,15704
10091,15704,11768
15704,11768,10306
11768,10306,10414
10306,10414,19958
10414,19958,19581
19958,19581,11001
19581,11001,11464
11001,11464,12466
11464,12466,13315
12466,13315,12764
13315,12764,15695
12764,15695,15552
15695,15552,14175
15552,14175,16302
14175,16302,14520
16302,14520,11970
14520,11970,12265
11970,12265,10936
12265,10936,10601
10936,10601,18987
10601,18987,17762
18987,17762,16826
17762,16826,12742
16826,12742,16020
12742,16020,18810
16020,18810,10931
18810,10931,16331
10931,16331,11427
16331,11427,14202
11427,14202,12654
14202,12654,17709
12654,17709,10344
17709,10344,15757
10344,15757,13924
15757,13924,11204
13924,11204,12088
11204,12088,11945
12088,11945,14244
11945,14244,15027
14244,15027,19050
15027,19050,15768
19050,15768,13962
15768,13962,16974
13962,16974,11075
16974,11075,19270
11075,19270,18748
19270,18748,18258
18748,18258,10882
18258,10882,14878
10882,14878,17116
14878,17116,16234
17116,16234,10532
16234,10532,13072
10532,13072,13967
13072,13967,19335
13967,19335,11462
19335,11462,13441
11462,13441,14447
13441,14447,12315
14447,12315,10251
12315,10251,11132
10251,11132,15559
11132,15559,15079
15559,15079,11866
15079,11866,16593
11866,16593,10895
16593,10895,19969
10895,19969,16902
19969,16902,11671
16902,11671,16007
11671,16007,14558
16007,14558,16007
14558,16007,10364
16007,10364,13293
10364,13293,11955
13293,11955,14182
11955,14182,10654
14182,10654,19268
10654,19268,10803
19268,10803,16342
10803,16342,10188
16342,10188,15033
10188,15033,11712
15033,11712,16156
11712,16156,11226
16156,11226,11718
11226,11718,12275
11718,12275,15903
12275,15903,16528
15903,16528,10709
16528,10709,11591
10709,11591,10467
11591,10467,12047
10467,12047,18197
12047,18197,16692
18197,16692,15092
16692,15092,15020
15092,15020,18634
15020,18634,12153
18634,12153,13578
12153,13578,17382
13578,17382,19859
17382,19859,17991
19859,17991,11504
17991,11504,10213
11504,10213,12381
10213,12381,15454
12381,15454,12396
15454,12396,12157
12396,12157,11766
12157,11766,15627
11766,15627,11593
15627,11593,16001
11593,16001,15624
16001,15624,10071
15624,10071,15367
10071,15367,12728
15367,12728,19127
12728,19127,15121
19127,15121,17770
15121,17770,19600
17770,19600,15507
19600,15507,19949
15507,19949,17748
19949,17748,12328
17748,12328,10933
12328,10933,16920
10933,16920,13403
16920,13403,10126
13403,10126,16338
10126,16338,18699
16338,18699,14356
18699,14356,12542
14356,12542,17086
12542,17086,14246
17086,14246,11057
14246,11057,15919
11057,15919,15487
